"Species","X","Y"
"Hypopachus variolosus",-98.884175,23.7978
"Hypopachus variolosus",-89.575033,20.916375
"Hypopachus variolosus",-88.141981,21.168584
"Hypopachus variolosus",-89.90448,18.359347
"Hypopachus variolosus",-89.892953,18.364813
"Hypopachus variolosus",-89.902345,18.362738
"Hypopachus variolosus",-89.487093,18.404289
"Hypopachus variolosus",-103.473701,20.690785
"Hypopachus variolosus",-104.056935,20.650578
"Hypopachus variolosus",-103.530999,20.38979
"Hypopachus variolosus",-102.770572,20.330241
"Hypopachus variolosus",-89.52145,21.110826
"Hypopachus variolosus",-89.491438,18.409613
"Hypopachus variolosus",-101.542426,21.04432
"Hypopachus variolosus",-101.330522,20.754027
"Hypopachus variolosus",-88.22975,21.152978
"Hypopachus variolosus",-88.229185,21.153043
"Hypopachus variolosus",-87.317703,20.396045
"Hypopachus variolosus",-87.392499,20.457539
"Hypopachus variolosus",-88.155975,20.607904
"Hypopachus variolosus",-88.158051,20.605207
"Hypopachus variolosus",-87.393683,20.457099
"Hypopachus variolosus",-89.877809,18.345076
"Hypopachus variolosus",-108.774478,27.011308
"Hypopachus variolosus",-89.510255,21.095081
"Hypopachus variolosus",-89.877809,18.345076
"Hypopachus variolosus",-87.608863,21.361635
"Hypopachus variolosus",-93.857702,16.373005
"Hypopachus variolosus",-101.694824,19.812961
"Hypopachus variolosus",-101.694824,19.812961
"Hypopachus variolosus",-102.770558,20.330327
"Hypopachus variolosus",-103.143753,20.398653
"Hypopachus variolosus",-96.380506,19.59247
"Hypopachus variolosus",-90.23153,19.597839
"Hypopachus variolosus",-89.770816,20.360607
"Hypopachus variolosus",-97.074692,15.888945
"Hypopachus variolosus",-89.595316,21.159648
"Hypopachus variolosus",-104.671682,19.225128
"Hypopachus variolosus",-100.115453,21.466413
"Hypopachus variolosus",-89.625847,21.051114
"Hypopachus variolosus",-89.80308,18.10975
"Hypopachus variolosus",-89.802947,18.109489
"Hypopachus variolosus",-87.633133,20.644993
"Hypopachus variolosus",-87.63533,20.644893
"Hypopachus variolosus",-89.559343,20.753048
"Hypopachus variolosus",-87.633418,20.646308
"Hypopachus variolosus",-87.205195,20.544761
"Hypopachus variolosus",-89.595588,20.848785
"Hypopachus variolosus",-89.595759,20.848703
"Hypopachus variolosus",-90.485478,19.801989
"Hypopachus variolosus",-89.488154,21.1193
"Hypopachus variolosus",-89.49184,21.116311
"Hypopachus variolosus",-87.081151,21.001602
"Hypopachus variolosus",-103.682205,19.42273
"Hypopachus variolosus",-103.398803,20.797117
"Hypopachus variolosus",-104.111681,19.27447
"Hypopachus variolosus",-104.111695,19.274465
"Hypopachus variolosus",-91.510627,18.212456
"Hypopachus variolosus",-91.416789,18.229527
"Hypopachus variolosus",-88.051575,19.475056
"Hypopachus variolosus",-89.42466,21.011262
"Hypopachus variolosus",-103.810808,20.383853
"Hypopachus variolosus",-89.505072,21.1054
"Hypopachus variolosus",-89.510011,21.08222
"Hypopachus variolosus",-89.505652,21.10413
"Hypopachus variolosus",-89.810164,18.105178
"Hypopachus variolosus",-90.242735,20.033767
"Hypopachus variolosus",-89.92114,18.538159
"Hypopachus variolosus",-90.605943,19.785917
"Hypopachus variolosus",-90.605943,19.785917
"Hypopachus variolosus",-90.605943,19.785917
"Hypopachus variolosus",-101.690844,20.190524
"Hypopachus variolosus",-99.760652,25.044161
"Hypopachus variolosus",-97.01087,18.822986
"Hypopachus variolosus",-90.00141,20.055934
"Hypopachus variolosus",-89.899654,18.486933
"Hypopachus variolosus",-90.299754,19.995885
"Hypopachus variolosus",-89.396813,18.527677
"Hypopachus variolosus",-98.944966,18.532548
"Hypopachus variolosus",-93.222572,16.904428
"Hypopachus variolosus",-101.695185,19.812866
"Hypopachus variolosus",-102.903167,21.136586
"Hypopachus variolosus",-88.341003,19.125145
"Hypopachus variolosus",-88.272552,18.813919
"Hypopachus variolosus",-88.853959,21.374326
"Hypopachus variolosus",-88.33712,19.124
"Hypopachus variolosus",-98.380081,21.147815
"Hypopachus variolosus",-93.570104,17.933212
"Hypopachus variolosus",-93.588395,17.937764
"Hypopachus variolosus",-93.581483,17.936599
"Hypopachus variolosus",-93.772593,17.810233
"Hypopachus variolosus",-93.787484,17.819489
"Hypopachus variolosus",-93.661911,17.755685
"Hypopachus variolosus",-93.565423,17.807866
"Hypopachus variolosus",-93.686466,17.71955
"Hypopachus variolosus",-93.685528,17.71929
